"gene","marv.count","marv.lof.count","marv.ms.count","MSZ","pLI","pRec","pNull","scale.msz","lof.ms.aggregate","brain.expressed"
"ZNF292",3,3,0,0,0.999976984136083,2.30158639161706e-05,3.66919653072178e-16,0,9.6784885867731,TRUE
"CAPRIN1",3,3,0,1.49231381388687,0.999767661808702,0.000232338178932306,1.23659372184872e-11,0.10754982303794,9.67646261638713,TRUE
"FOXP1",3,3,0,2.99549120635151,0.999750735055125,0.00024926493019828,1.46767288016392e-11,0.215882575204274,9.67629878722515,TRUE
"UBN2",4,3,1,0.012288871248181,0.998642622987556,0.00135737682782456,1.8461959158161e-10,0.000885648793021282,9.66843100338752,TRUE
"KIAA0232",4,3,1,0.161055279315032,0.99472089633487,0.00527910263801243,1.02711708513853e-09,0.011607120853852,9.6650637542303,TRUE
"MTMR12",3,3,0,2.04706938440282,0.997884435033356,0.00211556442189225,5.44751607464504e-10,0.147530598450654,9.65823540802069,TRUE
"PLXNB1",5,3,2,3.06702140409002,0.85019510818446,0.149804891803025,1.25148406569713e-11,0.221037697429276,9.65503309123193,TRUE
"USP15",3,3,0,3.47815950730788,0.990365016125739,0.00963498369102993,1.83231046772474e-10,0.250668080686311,9.58545712288904,TRUE
"KMT2A",4,2,2,6.64131812791879,1,1.87976006504377e-16,1.77900735852416e-42,0.478634307844366,9.54084977255524,TRUE
"CHD1",6,2,4,3.26151224939233,0.999999999362856,6.37143867661318e-10,3.5017629230383e-25,0.235054491886389,9.48584033453751,TRUE
"PPP2R5D",5,2,3,4.26272479443542,0.997520078948917,0.00247991708434318,3.96673959341833e-09,0.307211052417238,9.40987970718433,TRUE
"SUV420H1",10,2,4,2.70521682459852,0.999930189531327,6.98104525316322e-05,1.61418348233246e-11,0.194962740448695,8.96800790212029,TRUE
"MYT1L",6,2,2,4.81415928764814,0.999963989377009,3.60106223397139e-05,6.51249064780453e-13,0.346952480533871,8.69094381715965,TRUE
"SPEN",5,2,3,2.988320591895,0.999999999999963,3.7044063712041e-14,1.68766999991888e-35,0.215365794947538,8.53693759789025,TRUE
"CACNA1D",6,0,6,5.5683904806058,0.99999999998943,1.05701389150024e-11,1.33783731932459e-31,0.401309299171778,7.76831373805178,FALSE
"AGO1",5,0,5,6.52667092411507,0.999999463471423,5.36528577125832e-07,1.14227189142122e-16,0.470371778632249,7.58765445480969,TRUE
"GIGYF2",5,2,3,1.43510376248985,0.99999999997935,2.06501034539141e-11,4.07829157222728e-28,0.103426741922906,7.45351181466376,TRUE
"LRP2",4,2,2,1.95492864824318,0.99999999999851,1.48993861047412e-12,3.65906499707677e-46,0.140890091758068,7.36156392063911,FALSE
